image_url,type,description,model_no,product_link
https://h6a8m2f3.delivery.rocketcdn.me/wp-content/uploads/2023/06/DEW340.jpg,paint,"Dunn Edwards
Whisper
DEW340 FDFAF1",DEW340 RL#003,https://www.dunnedwards.com/colors/browser/dew340
https://www.coloratelierpaint.com/cdn/shop/files/Tadelakt_Stone_White_ea0d9bed-e633-4968-a159-7001007f1e9c.jpg?v=1747186065,plaster,"Color Atelier
Tadelakt Shower Plaster
Stone White",,https://www.coloratelierpaint.com/products/tadelakt-shower-plaster
https://h6a8m2f3.delivery.rocketcdn.me/wp-content/uploads/2023/06/DEW340.jpg,paint,"Dunn Edwards
Whisper
Color: DEW340 FDFAF1
Sheen: Flat",DEW340 RL#003,https://www.dunnedwards.com/colors/browser/dew340
https://h6a8m2f3.delivery.rocketcdn.me/wp-content/uploads/2023/06/DEW340.jpg,paint,"Dunn Edwards
Whisper
Color: DEW340 Whisper
Sheen: Flat",DEW340 RL#003,https://www.dunnedwards.com/colors/browser/dew340
https://cdn11.bigcommerce.com/s-4t2li/products/911/images/8409/1__26922.1746741771.500.750.jpg?c=2,door handle,"Strongar Hardware
Pro-Line Extra Length Series
Matte Black Powder Coated Finish",SH-PRO-304-LPH-EXL-B-24-1250,https://www.strongarhardware.com/extra-length-ladder-style-back-to-back-push-pull-door-handle-matte-black-powder-coated-stainless-steel-finish/
https://images.kwikset.com/is/image/Kwikset/kw_mi-v1-rdt-lv-priv-15-ex?wid=600&qlt=90&resMode=sharp,lever,"Kwikset
Milan Round
Satin Nickel",155mil-rdt-514,https://www.kwikset.com/products/detail/milan-lever-round-bed-bath?variant=155mil-rdt-514
https://images.kwikset.com/is/image/Kwikset/kw_mi-v1-rdt-lv-pass-15-ex?wid=600&qlt=90&resMode=sharp,lever,"Kwikset
Milan Round
Satin Nickel",883351640466,https://www.kwikset.com/products/detail/milan-lever-round-hall-closet?variant=satin-nickel
https://www.emtek.com/media/salsify/images/iy/iyscir9ixg-2024-02-28T144120Z-Square-Barrel-Heavy-Duty-Hinge_EM_KO.jpg,door hinge,"Emtek
Square Barrel Heavy Duty Hinge
Solid Brass, Square Corners, 4-1/2 inch x 4-1/2 inch, Satin Brass US4",,https://emtek.com/door-hinges/4x4squarebarrelheavydutyhinges
https://cdn.msisurfaces.com/images/colornames/fullslab/calacatta-marble.jpg,marble,"MSI Surfaces
Calacatta Gold Marble
White Italian marble with gray and gold veining",RSL-CALACATTA,"https://www.msisurfaces.com/marble/calacatta-marble/#:~:text=Calacatta%20Gold%20marble%20is%20a,islands%2C%20marble%20floors%20and%20backsplashes."
https://assetstools.cosentino.com/api/v1/bynder/color/CHD/tablahd/CHD-fullslab.jpg?w=2200&h=2200&q=75&auto=format,countertop,"Cosentino
Silestone Charcoal Soapstone
Blue-grey finish with grey highlights",,https://www.cosentino.com/colors/silestone/charcoal-soapstone/
https://www.caesarstoneus.com/wp-content/uploads/2021/01/1141_Pure-White_1141_CU_50x70cm_1920x890px.jpg,quartz countertop,"Caesarstone
Premium Collection
Pure White
Polished Finish",1141,https://www.caesarstoneus.com/catalog/1141-pure-white/
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,tile,"Fireclay
Tile Field 2 x 2
Daisy",,https://www.fireclaytile.com/tile/colors/detail/daisy/tile-field-2-x-2
